id,title,exam,level,product,category,description,url_en,url_ja,duration,status
ex480,Red Hat Certified Specialist in MultiCluster Management,EX480,Level 400,,OpenShift,,https://www.redhat.com/en/services/training/ex480-red-hat-certified-specialist-multicluster-management-exam,https://www.redhat.com/ja/services/training/ex480-red-hat-certified-specialist-multicluster-management-exam,4h,Retired
ex267,Red Hat Certified Specialist in OpenShift AI,EX267,Level 200,OpenShift AI,OpenShift,"Deploy and manage AI workloads using OpenShift AI, including training, serving, and managing machine learning models.",https://www.redhat.com/en/services/training/ex267-red-hat-certified-specialist-openshift-ai,https://www.redhat.com/ja/services/training/ex267-red-hat-certified-specialist-openshift-ai,3h,Active
ex188,Red Hat Certified Specialist in Containers,EX188,Level 100,Containers,Cloud-Native,"Tests knowledge of container fundamentals including podman, customizing, running, managing containerized services.",https://www.redhat.com/en/services/training/ex188-red-hat-certified-specialist-containers-exam,https://www.redhat.com/ja/services/training/ex188-red-hat-certified-specialist-containers-exam,2.5h,Active
ex288,Red Hat Certified Specialist in OpenShift Application Development,EX288,Level 200,OpenShift / App Dev,Cloud-Native,"Covers designing, building, and deploying containerized applications using OpenShift.",https://www.redhat.com/en/services/training/ex288-red-hat-certified-openshift-application-developer-exam,https://www.redhat.com/ja/services/training/ex288-red-hat-certified-openshift-application-developer-exam,3h,Active
ex183,Red Hat Certified Enterprise Application Developer,EX183,Level 100,,Cloud-Native,,https://www.redhat.com/en/services/training/ex183-red-hat-certified-enterprise-application-developer-exam,https://www.redhat.com/ja/services/training/ex183-red-hat-certified-enterprise-application-developer-exam,2.5h,Active
ex221,Red Hat Certified Specialist in Cloud-native Integration,EX221,Level 200,,Cloud-Native,,https://www.redhat.com/en/services/training/ex221-red-hat-certified-specialist-cloud-native-integration-exam,https://www.redhat.com/ja/services/training/ex221-red-hat-certified-specialist-cloud-native-integration-exam,4h,Active
ex240,Red Hat Certified Specialist in API Management,EX240,Level 200,,Cloud-Native,,https://www.redhat.com/en/services/training/ex240-red-hat-certified-specialist-api-management-exam,https://www.redhat.com/ja/services/training/ex240-red-hat-certified-specialist-api-management-exam,3h,Active
ex248,Red Hat Certified Specialist in Enterprise Application Server Administration,EX248,Level 200,,Cloud-Native,,https://www.redhat.com/en/services/training/ex248-red-hat-certified-jboss-administration-rhcja-exam,https://www.redhat.com/ja/services/training/ex248-red-hat-certified-jboss-administration-rhcja-exam,4h,Active
ex328,Red Hat Certified Specialist in Building Resilient Microservices,EX328,Level 300,,Cloud-Native,,https://www.redhat.com/en/services/training/ex328-red-hat-certified-specialist-in-building-resilient-microservices-exam,https://www.redhat.com/ja/services/training/ex328-red-hat-certified-specialist-in-building-resilient-microservices-exam,3h,Active
ex378,Red Hat Certified Cloud-native Developer,EX378,Level 300,,Cloud-Native,,https://www.redhat.com/en/services/training/ex378-red-hat-certified-cloud-native-developer-exam,https://www.redhat.com/ja/services/training/ex378-red-hat-certified-cloud-native-developer-exam,3h,Active
ex482,Red Hat Certified Specialist in Event-Driven Development with Kafka,EX482,Level 400,,Cloud-Native,,https://www.redhat.com/en/services/training/red-hat-certified-specialist-event-driven-application-development-exam,https://www.redhat.com/ja/services/training/red-hat-certified-specialist-event-driven-application-development-exam,3h,Active
